iter	Passed	Remaining
0	6	6109
1	6	3284
2	6	2326
3	7	1853
4	7	1560
5	8	1362
6	8	1223
7	8	1108
8	9	1022
9	9	956
10	10	900
11	10	852
12	10	811
13	11	775
14	11	746
15	11	717
16	12	694
17	12	674
18	12	655
19	13	639
20	13	624
21	13	611
22	14	599
23	14	587
24	14	576
25	15	565
26	15	558
27	15	550
28	16	542
29	16	535
30	16	528
31	17	522
32	17	516
33	18	513
34	18	507
35	18	504
36	19	500
37	19	495
38	19	491
39	20	487
40	20	484
41	21	480
42	21	477
43	21	474
44	22	470
45	22	467
46	22	464
47	23	460
48	23	458
49	23	455
50	24	452
51	24	449
52	25	447
53	25	444
54	25	442
55	26	439
56	26	437
57	26	436
58	27	435
59	27	433
60	27	430
61	28	429
62	28	427
63	29	425
64	29	424
65	29	422
66	30	420
67	30	418
68	30	416
69	31	414
70	31	412
71	31	411
72	32	409
73	32	407
74	32	406
75	33	404
76	33	403
77	34	401
78	34	400
79	34	398
80	35	397
81	35	396
82	35	392
83	35	391
84	36	390
85	36	389
86	36	387
87	37	386
88	37	385
89	38	384
90	38	384
91	38	382
92	39	382
93	39	382
94	39	380
95	40	380
96	40	378
97	41	378
98	41	377
99	41	376
100	42	375
101	42	374
102	42	373
103	43	372
104	43	371
105	43	370
106	44	369
107	44	368
108	45	367
109	45	367
110	45	366
111	46	366
112	46	365
113	46	364
114	47	363
115	47	363
116	47	361
117	48	361
118	48	360
119	48	359
120	49	358
121	49	357
122	49	356
123	50	355
124	50	354
125	51	354
126	51	353
127	51	352
128	52	352
129	52	351
130	52	350
131	53	350
132	53	349
133	53	348
134	54	347
135	54	347
136	55	346
137	55	345
138	55	344
139	56	344
140	56	343
141	56	341
142	56	341
143	57	340
144	57	339
145	57	339
146	58	338
147	58	337
148	59	337
149	59	336
150	59	336
151	60	335
152	60	335
153	60	334
154	61	333
155	61	333
156	61	332
157	62	331
158	62	331
159	62	330
160	63	329
161	63	328
162	63	327
163	64	327
164	64	326
165	64	326
166	65	325
167	65	324
168	65	324
169	66	323
170	66	322
171	66	322
172	67	321
173	67	321
174	67	320
175	68	319
176	68	319
177	69	318
178	69	318
179	69	317
180	70	316
181	70	316
182	70	315
183	71	315
184	71	314
185	71	314
186	72	313
187	72	313
188	72	312
189	73	312
190	73	311
191	73	311
192	74	310
193	74	309
194	74	309
195	75	308
196	75	308
197	76	307
198	76	307
199	76	306
200	77	306
201	77	305
202	77	305
203	78	304
204	78	304
205	78	303
206	79	303
207	79	302
208	79	302
209	80	301
210	80	301
211	80	300
212	81	300
213	81	299
214	82	299
215	82	299
216	82	298
217	83	298
218	83	297
219	83	297
220	84	296
221	84	296
222	84	296
223	85	295
224	85	295
225	86	296
226	86	296
227	87	295
228	87	295
229	88	294
230	88	294
231	88	293
232	89	293
233	89	292
234	89	292
235	90	292
236	90	291
237	90	291
238	91	290
239	91	290
240	91	289
241	92	289
242	92	288
243	93	288
244	93	287
245	93	287
246	94	286
247	94	286
248	94	285
249	95	285
250	95	284
251	95	284
252	96	284
253	96	283
254	97	283
255	97	283
256	97	283
257	98	283
258	98	282
259	99	282
260	99	282
261	99	281
262	100	281
263	100	280
264	101	280
265	101	279
266	101	279
267	102	279
268	102	278
269	102	278
270	103	277
271	103	277
272	104	277
273	104	276
274	104	276
275	105	276
276	105	275
277	106	275
278	106	275
279	106	274
280	107	274
281	107	274
282	108	273
283	108	273
284	108	272
285	109	272
286	109	271
287	109	271
288	110	270
289	110	270
290	110	269
291	111	269
292	111	269
293	111	268
294	112	268
295	112	267
296	112	267
297	113	266
298	113	266
299	114	266
300	114	265
301	114	265
302	115	264
303	115	264
304	115	263
305	116	263
306	116	263
307	116	262
308	117	262
309	117	261
310	118	261
311	118	261
312	118	260
313	119	260
314	119	259
315	119	259
316	120	258
317	120	258
318	120	257
319	121	257
320	121	256
321	121	256
322	122	255
323	122	255
324	122	254
325	123	254
326	123	253
327	123	253
328	124	252
329	124	252
330	124	251
331	124	251
332	125	250
333	125	250
334	125	249
335	126	249
336	126	248
337	126	248
338	127	247
339	127	247
340	127	246
341	127	246
342	128	245
343	128	245
344	128	244
345	129	244
346	129	243
347	129	243
348	130	242
349	130	242
350	130	241
351	131	241
352	131	240
353	131	240
354	131	239
355	132	239
356	132	238
357	132	238
358	133	237
359	133	237
360	133	236
361	134	236
362	134	236
363	134	235
364	135	235
365	135	234
366	136	234
367	136	234
368	136	234
369	137	233
370	137	233
371	138	233
372	138	232
373	138	232
374	139	231
375	139	231
376	139	230
377	139	230
378	140	229
379	140	228
380	140	228
381	140	227
382	141	227
383	141	226
384	141	226
385	141	225
386	142	225
387	142	224
388	142	224
389	142	223
390	143	222
391	143	222
392	143	221
393	143	221
394	144	220
395	144	220
396	144	219
397	144	219
398	145	218
399	145	218
400	145	217
401	145	217
402	146	216
403	146	216
404	146	215
405	146	215
406	147	214
407	147	213
408	147	213
409	147	212
410	148	212
411	148	211
412	148	211
413	148	210
414	149	210
415	149	209
416	149	209
417	149	208
418	150	208
419	150	207
420	150	207
421	150	206
422	151	206
423	151	205
424	151	205
425	152	204
426	152	204
427	152	203
428	152	203
429	153	202
430	153	202
431	153	201
432	153	201
433	154	200
434	154	200
435	154	200
436	154	199
437	155	199
438	155	198
439	155	198
440	156	197
441	156	197
442	156	196
443	156	196
444	157	195
445	157	195
446	157	194
447	157	194
448	158	193
449	158	193
450	158	192
451	158	192
452	159	192
453	159	191
454	159	191
455	159	190
456	160	190
457	160	189
458	160	189
459	160	188
460	161	188
461	161	187
462	161	187
463	161	186
464	162	186
465	162	186
466	162	185
467	162	185
468	163	184
469	163	184
470	163	183
471	163	183
472	164	182
473	164	182
474	164	182
475	165	181
476	165	181
477	165	180
478	165	180
479	166	179
480	166	179
481	166	178
482	166	178
483	167	178
484	167	177
485	167	177
486	167	176
487	168	176
488	168	175
489	168	175
490	168	174
491	169	174
492	169	174
493	169	173
494	169	173
495	170	172
496	170	172
497	170	171
498	170	171
499	171	171
500	171	170
501	171	170
502	171	169
503	172	169
504	172	168
505	172	168
506	172	168
507	173	167
508	173	167
509	173	166
510	173	166
511	174	166
512	174	165
513	174	165
514	174	164
515	175	164
516	175	163
517	175	163
518	176	163
519	176	162
520	176	162
521	176	161
522	177	161
523	177	161
524	177	160
525	178	160
526	178	160
527	178	159
528	179	159
529	179	159
530	179	158
531	180	158
532	180	158
533	180	157
534	180	157
535	181	156
536	181	156
537	181	155
538	181	155
539	182	155
540	182	154
541	182	154
542	182	153
543	182	153
544	183	152
545	183	152
546	183	152
547	184	151
548	184	151
549	184	151
550	184	150
551	185	150
552	185	149
553	185	149
554	185	149
555	186	148
556	186	148
557	186	147
558	186	147
559	187	147
560	187	146
561	187	146
562	187	145
563	188	145
564	188	145
565	188	144
566	188	144
567	189	143
568	189	143
569	189	143
570	190	142
571	190	142
572	190	141
573	190	141
574	191	141
575	191	140
576	191	140
577	191	140
578	192	139
579	192	139
580	192	138
581	192	138
582	193	138
583	193	137
584	193	137
585	194	137
586	194	136
587	194	136
588	194	135
589	195	135
590	195	135
591	195	134
592	195	134
593	196	133
594	196	133
595	196	133
596	196	132
597	197	132
598	197	132
599	197	131
600	197	131
601	198	130
602	198	130
603	198	130
604	198	129
605	199	129
606	199	129
607	199	128
608	199	128
609	200	127
610	200	127
611	200	127
612	200	126
613	201	126
614	201	126
615	201	125
616	202	125
617	202	125
618	202	124
619	202	124
620	203	123
621	203	123
622	203	123
623	204	122
624	204	122
625	204	122
626	204	121
627	205	121
628	205	121
629	205	120
630	205	120
631	206	119
632	206	119
633	206	119
634	206	118
635	207	118
636	207	118
637	207	117
638	207	117
639	208	117
640	208	116
641	208	116
642	208	115
643	209	115
644	209	115
645	209	114
646	209	114
647	210	114
648	210	113
649	210	113
650	210	113
651	211	112
652	211	112
653	211	111
654	211	111
655	212	111
656	212	110
657	212	110
658	212	110
659	213	109
660	213	109
661	213	109
662	213	108
663	214	108
664	214	108
665	214	107
666	214	107
667	215	106
668	215	106
669	215	106
670	216	105
671	216	105
672	216	105
673	216	104
674	217	104
675	217	104
676	217	103
677	217	103
678	218	103
679	218	102
680	218	102
681	218	102
682	219	101
683	219	101
684	219	100
685	219	100
686	220	100
687	220	99
688	220	99
689	220	99
690	221	98
691	221	98
692	221	98
693	221	97
694	222	97
695	222	97
696	222	96
697	222	96
698	223	96
699	223	95
700	223	95
701	223	95
702	224	94
703	224	94
704	224	94
705	224	93
706	225	93
707	225	92
708	225	92
